,open,close,high,low,volume,money
2006-03-03,1037.99,1041.68,1043.42,1029.56,2120053900.0,11437141697.0
2006-03-06,1041.75,1038.87,1044.42,1036.11,1787096300.0,9091203924.0
2006-03-07,1037.93,1014.97,1037.98,1013.14,1933651600.0,9676508800.0
2006-03-08,1012.58,1009.27,1014.97,999.93,1746305500.0,8818082801.0
2006-03-09,1006.97,1004.34,1010.91,1002.2,1273509900.0,6640051345.0
2006-03-10,1004.75,1008.9,1011.76,1004.69,1188798300.0,6337829115.0
2006-03-13,1008.8,1019.86,1020.88,1008.51,1176591100.0,6101943506.0
2006-03-14,1020.47,1018.27,1021.65,1012.11,1134803000.0,5861599356.0
2006-03-15,1018.15,1028.96,1028.96,1017.08,1484206800.0,7822300458.0
2006-03-16,1028.96,1027.62,1029.81,1025.52,1478433900.0,7936360041.0
2006-03-17,1027.64,1024.02,1029.56,1021.08,1500192400.0,7945174864.0
2006-03-20,1024.5,1037.66,1037.91,1019.65,1538991200.0,8246315688.0
2006-03-21,1037.95,1040.76,1047.05,1036.23,1907766200.0,10271579935.0
2006-03-22,1041.14,1047.67,1047.94,1036.71,1864057500.0,10034541922.0
2006-03-23,1047.35,1048.54,1049.33,1042.83,2046788500.0,10825049824.0
2006-03-24,1049.12,1042.6,1051.76,1041.23,2009823700.0,11031900342.0
2006-03-27,1042.63,1050.71,1050.71,1037.08,1713407000.0,9201788180.0
2006-03-28,1050.07,1055.98,1056.52,1048.64,2227399900.0,10630507500.0
2006-03-29,1058.74,1065.29,1074.04,1057.68,3052634500.0,15882110482.0
2006-03-30,1065.84,1055.63,1067.99,1055.14,2201249400.0,12089930817.0
2006-03-31,1053.85,1061.09,1061.47,1050.22,2227619000.0,12045672446.0
2006-04-03,1061.96,1079.32,1079.37,1061.96,2772976100.0,15703156870.0
2006-04-04,1080.86,1089.37,1089.37,1076.2,3114875700.0,17525218334.0
2006-04-05,1091.17,1099.97,1100.56,1089.55,3293691400.0,18539588008.0
2006-04-06,1102.54,1103.24,1109.68,1097.32,3616704900.0,19687813538.0
2006-04-07,1102.94,1103.15,1105.1,1091.89,3257086000.0,17760103659.0
2006-04-10,1104.32,1117.91,1118.08,1100.69,3206752000.0,17246470925.0
2006-04-11,1120.16,1123.31,1126.09,1112.01,3560752000.0,19796708290.0
2006-04-12,1123.78,1117.07,1123.78,1116.15,3033384500.0,15991141463.0
2006-04-13,1116.84,1093.92,1122.39,1093.51,3382414600.0,17190084945.0
2006-04-14,1091.69,1118.61,1118.66,1091.67,3352796200.0,16782531968.0
2006-04-17,1120.19,1124.41,1129.15,1114.53,3570454800.0,18349161711.0
2006-04-18,1127.51,1131.28,1135.45,1119.27,3231722300.0,17403457422.0
2006-04-19,1135.61,1138.24,1140.41,1125.2,3432289800.0,19364959974.0
2006-04-20,1139.64,1134.38,1142.54,1127.09,3788565100.0,21561233693.0
2006-04-21,1133.2,1149.16,1152.89,1127.65,4077291000.0,22750697130.0
